CODIGO_DANE_MUNICIPIO,DEPARTAMENTO,MUNICIPIO
05266,ANTIOQUIA,ENVIGADO
73411,TOLIMA,LIBANO
52585,NARINO,PUPIALES
18610,CAQUETA,SAN JOSE DEL FRAGUA
25183,CUNDINAMARCA,CHOCONTA
08634,ATLANTICO,SABANAGRANDE
19212,CAUCA,CORINTO
05368,ANTIOQUIA,JERICO
25772,CUNDINAMARCA,SUESCA
13780,BOLIVAR,TALAIGUA NUEVO
05604,ANTIOQUIA,REMEDIOS
25019,CUNDINAMARCA,ALBAN
25151,CUNDINAMARCA,CAQUEZA
76020,VALLE DEL CAUCA,ALCALA
41503,HUILA,OPORAPA
52385,NARINO,LA LLANADA
19355,CAUCA,INZA
05631,ANTIOQUIA,SABANETA
23807,CORDOBA,TIERRALTA
05042,ANTIOQUIA,SANTA FE DE ANTIOQUIA
76400,VALLE DEL CAUCA,LA UNION
85325,CASANARE,SAN LUIS DE PALENQUE
66088,RISARALDA,BELEN DE UMBRIA
17174,CALDAS,CHINCHINA
25402,CUNDINAMARCA,LA VEGA
19517,CAUCA,PAEZ
23068,CORDOBA,AYAPEL
52224,NARINO,CUASPUD CARLOSAMA
20250,CESAR,EL PASO
05034,ANTIOQUIA,ANDES
20013,CESAR,AGUSTIN CODAZZI
52354,NARINO,IMUES
76563,VALLE DEL CAUCA,PRADERA
23079,CORDOBA,BUENAVISTA
44874,LA GUAJIRA,VILLANUEVA
27245,CHOCO,EL CARMEN DE ATRATO
41660,HUILA,SALADOBLANCO
41668,HUILA,SAN AGUSTIN
76670,VALLE DEL CAUCA,SAN PEDRO
05308,ANTIOQUIA,GIRARDOTA
20060,CESAR,BOSCONIA
05310,ANTIOQUIA,GOMEZ PLATA
52435,NARINO,MALLAMA
44078,LA GUAJIRA,BARRANCAS
76122,VALLE DEL CAUCA,CAICEDONIA
50683,META,SAN JUAN DE ARAMA
17524,CALDAS,PALESTINA
54673,NORTE DE SANTANDER,SAN CAYETANO
52565,NARINO,PROVIDENCIA
81794,ARAUCA,TAME
52506,NARINO,OSPINA
54800,NORTE DE SANTANDER,TEORAMA
73319,TOLIMA,GUAMO
05887,ANTIOQUIA,YARUMAL
54261,NORTE DE SANTANDER,EL ZULIA
05197,ANTIOQUIA,COCORNA
68077,SANTANDER,BARBOSA
23855,CORDOBA,VALENCIA
54743,NORTE DE SANTANDER,SILOS
52240,NARINO,CHACHAGUI
05079,ANTIOQUIA,BARBOSA
05237,ANTIOQUIA,DONMATIAS
05030,ANTIOQUIA,AMAGA
50313,META,GRANADA
50689,META,SAN MARTIN
81736,ARAUCA,SARAVENA
25743,CUNDINAMARCA,SILVANIA
05895,ANTIOQUIA,ZARAGOZA
05284,ANTIOQUIA,FRONTINO
85230,CASANARE,OROCUE
23417,CORDOBA,LORICA
73443,TOLIMA,SAN SEBASTIAN DE MARIQUITA
05686,ANTIOQUIA,SANTA ROSA DE OSOS
41548,HUILA,PITAL
68745,SANTANDER,SIMACOTA
54660,NORTE DE SANTANDER,SALAZAR
20295,CESAR,GAMARRA
05674,ANTIOQUIA,SAN VICENTE FERRER
76036,VALLE DEL CAUCA,ANDALUCIA
05642,ANTIOQUIA,SALGAR
86760,PUTUMAYO,SANTIAGO
25245,CUNDINAMARCA,EL COLEGIO
05761,ANTIOQUIA,SOPETRAN
52678,NARINO,SAMANIEGO
73124,TOLIMA,CAJAMARCA
63401,QUINDIO,LA TEBAIDA
41020,HUILA,ALGECIRAS
88001,SAN ANDRES ISLAS,SAN ANDRES
25126,CUNDINAMARCA,CAJICA
25279,CUNDINAMARCA,FOMEQUE
23686,CORDOBA,SAN PELAYO
50370,META,URIBE
41518,HUILA,PAICOL
76828,VALLE DEL CAUCA,TRUJILLO
05031,ANTIOQUIA,AMALFI
19075,CAUCA,BALBOA
85162,CASANARE,MONTERREY
05649,ANTIOQUIA,SAN CARLOS
15087,BOYACA,BELEN
15757,BOYACA,SOCHA
47707,MAGDALENA,SANTA ANA
05541,ANTIOQUIA,PENOL
15516,BOYACA,PAIPA
15407,BOYACA,VILLA DE LEYVA
68406,SANTANDER,LEBRIJA
85010,CASANARE,AGUAZUL
41770,HUILA,SUAZA
17001,CALDAS,MANIZALES
73624,TOLIMA,ROVIRA
05318,ANTIOQUIA,GUARNE
19513,CAUCA,PADILLA
05670,ANTIOQUIA,SAN ROQUE
50270,META,EL DORADO
47288,MAGDALENA,FUNDACION
13838,BOLIVAR,TURBANA
25572,CUNDINAMARCA,PUERTO SALGAR
13873,BOLIVAR,VILLANUEVA
73520,TOLIMA,PALOCABILDO
17433,CALDAS,MANZANARES
05893,ANTIOQUIA,YONDO
18256,CAQUETA,EL PAUJIL
97001,VAUPES,MITU
05250,ANTIOQUIA,EL BAGRE
44378,LA GUAJIRA,HATONUEVO
47551,MAGDALENA,PIVIJAY
70215,SUCRE,COROZAL
05480,ANTIOQUIA,MUTATA
85263,CASANARE,PORE
05353,ANTIOQUIA,HISPANIA
44420,LA GUAJIRA,LA JAGUA DEL PILAR
76869,VALLE DEL CAUCA,VIJES
41799,HUILA,TELLO
17614,CALDAS,RIOSUCIO
70265,SUCRE,GUARANDA
47460,MAGDALENA,NUEVA GRANADA
05040,ANTIOQUIA,ANORI
20614,CESAR,RIO DE ORO
27413,CHOCO,LLORO
85250,CASANARE,PAZ DE ARIPORO
25099,CUNDINAMARCA,BOJACA
20045,CESAR,BECERRIL
13673,BOLIVAR,SANTA CATALINA
76113,VALLE DEL CAUCA,BUGALAGRANDE
20517,CESAR,PAILITAS
66594,RISARALDA,QUINCHIA
27050,CHOCO,ATRATO
68132,SANTANDER,CALIFORNIA
41013,HUILA,AGRADO
94001,GUAINIA,INIRIDA
47980,MAGDALENA,ZONA BANANERA
73504,TOLIMA,ORTEGA
05861,ANTIOQUIA,VENECIA
05306,ANTIOQUIA,GIRALDO
05209,ANTIOQUIA,CONCORDIA
15183,BOYACA,CHITA
19743,CAUCA,SILVIA
20178,CESAR,CHIRIGUANA
47058,MAGDALENA,ARIGUANI
20310,CESAR,GONZALEZ
73026,TOLIMA,ALVARADO
73349,TOLIMA,HONDA
66400,RISARALDA,LA VIRGINIA
05376,ANTIOQUIA,LA CEJA
25320,CUNDINAMARCA,GUADUAS
23464,CORDOBA,MOMIL
25295,CUNDINAMARCA,GACHANCIPA
13468,BOLIVAR,SANTA CRUZ DE MOMPOX
15204,BOYACA,COMBITA
25200,CUNDINAMARCA,COGUA
27361,CHOCO,ISTMINA
18094,CAQUETA,BELEN DE LOS ANDAQUIES
68575,SANTANDER,PUERTO WILCHES
68229,SANTANDER,CURITI
05690,ANTIOQUIA,SANTO DOMINGO
41016,HUILA,AIPE
41357,HUILA,IQUIRA
85410,CASANARE,TAURAMENA
05206,ANTIOQUIA,CONCEPCION
25793,CUNDINAMARCA,TAUSA
13647,BOLIVAR,SAN ESTANISLAO
52210,NARINO,CONTADERO
41244,HUILA,ELIAS
05656,ANTIOQUIA,SAN JERONIMO
05390,ANTIOQUIA,LA PINTADA
76622,VALLE DEL CAUCA,ROLDANILLO
47555,MAGDALENA,PLATO
17042,CALDAS,ANSERMA
08421,ATLANTICO,LURUACO
68235,SANTANDER,EL CARMEN DE CHUCURI
15822,BOYACA,TOTA
95025,GUAVIARE,EL RETORNO
05120,ANTIOQUIA,CACERES
86757,PUTUMAYO,SAN MIGUEL
19050,CAUCA,ARGELIA
76250,VALLE DEL CAUCA,EL DOVIO
20750,CESAR,SAN DIEGO
25736,CUNDINAMARCA,SESQUILE
05483,ANTIOQUIA,NARINO
52573,NARINO,PUERRES
05890,ANTIOQUIA,YOLOMBO
05660,ANTIOQUIA,SAN LUIS
25322,CUNDINAMARCA,GUASCA
05044,ANTIOQUIA,ANZA
05490,ANTIOQUIA,NECOCLI
20175,CESAR,CHIMICHAGUA
13042,BOLIVAR,ARENAL
15572,BOYACA,PUERTO BOYACA
13300,BOLIVAR,HATILLO DE LOBA
25524,CUNDINAMARCA,PANDI
23570,CORDOBA,PUEBLO NUEVO
05576,ANTIOQUIA,PUEBLORRICO
70429,SUCRE,MAJAGUAL
50330,META,MESETAS
05679,ANTIOQUIA,SANTA BARBARA
05756,ANTIOQUIA,SONSON
86755,PUTUMAYO,SAN FRANCISCO
05093,ANTIOQUIA,BETULIA
41078,HUILA,BARAYA
05125,ANTIOQUIA,CAICEDO
25799,CUNDINAMARCA,TENJO
70713,SUCRE,SAN ONOFRE
15861,BOYACA,VENTAQUEMADA
27615,CHOCO,RIOSUCIO
63470,QUINDIO,MONTENEGRO
05148,ANTIOQUIA,EL CARMEN DE VIBORAL
41676,HUILA,SANTA MARIA
25178,CUNDINAMARCA,CHIPAQUE
44098,LA GUAJIRA,DISTRACCION
05036,ANTIOQUIA,ANGELOPOLIS
08558,ATLANTICO,POLONUEVO
05038,ANTIOQUIA,ANGOSTURA
19450,CAUCA,MERCADERES
81591,ARAUCA,PUERTO RONDON
08372,ATLANTICO,JUAN DE ACOSTA
68327,SANTANDER,GUEPSA
23300,CORDOBA,COTORRA
52378,NARINO,LA CRUZ
73200,TOLIMA,COELLO
05400,ANTIOQUIA,LA UNION
73671,TOLIMA,SALDANA
15790,BOYACA,TASCO
50223,META,CUBARRAL
68572,SANTANDER,PUENTE NACIONAL
99524,VICHADA,LA PRIMAVERA
25377,CUNDINAMARCA,LA CALERA
41319,HUILA,GUADALUPE
17662,CALDAS,SAMANA
44110,LA GUAJIRA,EL MOLINO
17513,CALDAS,PACORA
05264,ANTIOQUIA,ENTRERRIOS
17867,CALDAS,VICTORIA
73067,TOLIMA,ATACO
25290,CUNDINAMARCA,FUSAGASUGA
54051,NORTE DE SANTANDER,ARBOLEDAS
50287,META,FUENTE DE ORO
05440,ANTIOQUIA,MARINILLA
68655,SANTANDER,SABANA DE TORRES
70823,SUCRE,SAN JOSE DE TOLUVIEJO
76100,VALLE DEL CAUCA,BOLIVAR
50318,META,GUAMAL
18247,CAQUETA,EL DONCELLO
19533,CAUCA,PIAMONTE
15690,BOYACA,SANTA MARIA
15763,BOYACA,SOTAQUIRA
41378,HUILA,LA ARGENTINA
17873,CALDAS,VILLAMARIA
15681,BOYACA,SAN PABLO DE BORBUR
70233,SUCRE,EL ROBLE
19100,CAUCA,BOLIVAR
86571,PUTUMAYO,PUERTO GUZMAN
23675,CORDOBA,SAN BERNARDO DEL VIENTO
25123,CUNDINAMARCA,CACHIPAY
13657,BOLIVAR,SAN JUAN NEPOMUCENO
73408,TOLIMA,LERIDA
05809,ANTIOQUIA,TITIRIBI
25317,CUNDINAMARCA,GUACHETA
05885,ANTIOQUIA,YALI
18150,CAQUETA,CARTAGENA DEL CHAIRA
08520,ATLANTICO,PALMAR DE VARELA
15518,BOYACA,PAJARITO
13222,BOLIVAR,CLEMENCIA
25181,CUNDINAMARCA,CHOACHI
47660,MAGDALENA,SABANAS DE SAN ANGEL
66075,RISARALDA,BALBOA
05190,ANTIOQUIA,CISNEROS
20770,CESAR,SAN MARTIN
05411,ANTIOQUIA,LIBORINA
25785,CUNDINAMARCA,TABIO
52693,NARINO,SAN PABLO
18029,CAQUETA,ALBANIA
47205,MAGDALENA,CONCORDIA
05607,ANTIOQUIA,RETIRO
52352,NARINO,ILES
05842,ANTIOQUIA,URAMITA
05591,ANTIOQUIA,PUERTO TRIUNFO
15693,BOYACA,SANTA ROSA DE VITERBO
81300,ARAUCA,FORTUL
73043,TOLIMA,ANZOATEGUI
66045,RISARALDA,APIA
05364,ANTIOQUIA,JARDIN
50680,META,SAN CARLOS DE GUAROA
05790,ANTIOQUIA,TARAZA
05138,ANTIOQUIA,CANASGORDAS
13062,BOLIVAR,ARROYOHONDO
70717,SUCRE,SAN PEDRO
05234,ANTIOQUIA,DABEIBA
70221,SUCRE,COVENAS
23580,CORDOBA,PUERTO LIBERTADOR
50577,META,PUERTO LLERAS
23672,CORDOBA,SAN ANTERO
76243,VALLE DEL CAUCA,EL AGUILA
05107,ANTIOQUIA,BRICENO
41872,HUILA,VILLAVIEJA
25386,CUNDINAMARCA,LA MESA
52258,NARINO,EL TABLON DE GOMEZ
25154,CUNDINAMARCA,CARMEN DE CARUPA
19290,CAUCA,FLORENCIA
73030,TOLIMA,AMBALEMA
52260,NARINO,EL TAMBO
25599,CUNDINAMARCA,APULO
52720,NARINO,SAPUYES
25815,CUNDINAMARCA,TOCAIMA
52203,NARINO,COLON
70670,SUCRE,SAMPUES
08832,ATLANTICO,TUBARA
13433,BOLIVAR,MAHATES
47692,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA
05659,ANTIOQUIA,SAN JUAN DE URABA
25120,CUNDINAMARCA,CABRERA
15537,BOYACA,PAZ DE RIO
05086,ANTIOQUIA,BELMIRA
05854,ANTIOQUIA,VALDIVIA
54520,NORTE DE SANTANDER,PAMPLONITA
23678,CORDOBA,SAN CARLOS
68684,SANTANDER,SAN JOSE DE MIRANDA
15646,BOYACA,SAMACA
70523,SUCRE,PALMITO
05321,ANTIOQUIA,GUATAPE
47161,MAGDALENA,CERRO DE SAN ANTONIO
23586,CORDOBA,PURISIMA DE LA CONCEPCION
25769,CUNDINAMARCA,SUBACHOQUE
05425,ANTIOQUIA,MACEO
73275,TOLIMA,FLANDES
25658,CUNDINAMARCA,SAN FRANCISCO
70708,SUCRE,SAN MARCOS
05579,ANTIOQUIA,PUERTO BERRIO
76497,VALLE DEL CAUCA,OBANDO
15296,BOYACA,GAMEZA
76823,VALLE DEL CAUCA,TORO
23168,CORDOBA,CHIMA
54250,NORTE DE SANTANDER,EL TARRA
70473,SUCRE,MORROA
25335,CUNDINAMARCA,GUAYABETAL
70418,SUCRE,LOS PALMITOS
52687,NARINO,SAN LORENZO
05792,ANTIOQUIA,TARSO
41801,HUILA,TERUEL
54245,NORTE DE SANTANDER,EL CARMEN
68689,SANTANDER,SAN VICENTE DE CHUCURI
66440,RISARALDA,MARSELLA
54128,NORTE DE SANTANDER,CACHIRA
15835,BOYACA,TURMEQUE
05585,ANTIOQUIA,PUERTO NARE
76377,VALLE DEL CAUCA,LA CUMBRE
52083,NARINO,BELEN
13140,BOLIVAR,CALAMAR
73449,TOLIMA,MELGAR
54223,NORTE DE SANTANDER,CUCUTILLA
52411,NARINO,LINARES
05647,ANTIOQUIA,SAN ANDRES DE CUERQUIA
08436,ATLANTICO,MANATI
25486,CUNDINAMARCA,NEMOCON
54398,NORTE DE SANTANDER,LA PLAYA
13600,BOLIVAR,RIO VIEJO
25224,CUNDINAMARCA,CUCUNUBA
47268,MAGDALENA,EL RETEN
05002,ANTIOQUIA,ABEJORRAL
73217,TOLIMA,COYAIMA
19821,CAUCA,TORIBIO
50606,META,RESTREPO
15377,BOYACA,LABRANZAGRANDE
25438,CUNDINAMARCA,MEDINA
05667,ANTIOQUIA,SAN RAFAEL
05113,ANTIOQUIA,BURITICA
13490,BOLIVAR,NOROSI
25040,CUNDINAMARCA,ANOLAIMA
50124,META,CABUYARO
63111,QUINDIO,BUENAVISTA
54820,NORTE DE SANTANDER,TOLEDO
66687,RISARALDA,SANTUARIO
47170,MAGDALENA,CHIVOLO
68895,SANTANDER,ZAPATOCA
05658,ANTIOQUIA,SAN JOSE DE LA MONTANA
41791,HUILA,TARQUI
68686,SANTANDER,SAN MIGUEL
15814,BOYACA,TOCA
05819,ANTIOQUIA,TOLEDO
27135,CHOCO,EL CANTON DEL SAN PABLO
47720,MAGDALENA,SANTA BARBARA DE PINTO
76403,VALLE DEL CAUCA,LA VICTORIA
47798,MAGDALENA,TENERIFE
05361,ANTIOQUIA,ITUANGO
27660,CHOCO,SAN JOSE DEL PALMAR
99773,VICHADA,CUMARIBO
54680,NORTE DE SANTANDER,SANTIAGO
52788,NARINO,TANGUA
68207,SANTANDER,CONCEPCION
13894,BOLIVAR,ZAMBRANO
54099,NORTE DE SANTANDER,BOCHALEMA
54418,NORTE DE SANTANDER,LOURDES
13760,BOLIVAR,SOPLAVIENTO
25535,CUNDINAMARCA,PASCA
86749,PUTUMAYO,SIBUNDOY
08770,ATLANTICO,SUAN
05628,ANTIOQUIA,SABANALARGA
15185,BOYACA,CHITARAQUE
05282,ANTIOQUIA,FREDONIA
73563,TOLIMA,PRADO
13188,BOLIVAR,CICUCO
70508,SUCRE,OVEJAS
13670,BOLIVAR,SAN PABLO
25488,CUNDINAMARCA,NILO
68867,SANTANDER,VETAS
50251,META,EL CASTILLO
73483,TOLIMA,NATAGAIMA
68255,SANTANDER,EL PLAYON
52381,NARINO,LA FLORIDA
05347,ANTIOQUIA,HELICONIA
73622,TOLIMA,RONCESVALLES
15837,BOYACA,TUTA
85430,CASANARE,TRINIDAD
13160,BOLIVAR,CANTAGALLO
68855,SANTANDER,VALLE DE SAN JOSE
05495,ANTIOQUIA,NECHI
13650,BOLIVAR,SAN FERNANDO
81220,ARAUCA,CRAVO NORTE
19397,CAUCA,LA VEGA
68573,SANTANDER,PUERTO PARRA
05150,ANTIOQUIA,CAROLINA
23090,CORDOBA,CANALETE
05101,ANTIOQUIA,CIUDAD BOLIVAR
15507,BOYACA,OTANCHE
25513,CUNDINAMARCA,PACHO
25328,CUNDINAMARCA,GUAYABAL DE SIQUIMA
27006,CHOCO,ACANDI
15764,BOYACA,SORACA
05856,ANTIOQUIA,VALPARAISO
52036,NARINO,ANCUYA
15632,BOYACA,SABOYA
68101,SANTANDER,BOLIVAR
15469,BOYACA,MONIQUIRA
15299,BOYACA,GARAGOA
68444,SANTANDER,MATANZA
70702,SUCRE,SAN JUAN DE BETULIA
05051,ANTIOQUIA,ARBOLETES
05055,ANTIOQUIA,ARGELIA
